index,52,51,53,54,55,56,57,58,59
D_0__Archaea;D_1__Altiarchaeota;D_2__Altiarchaeia;D_3__uncultured archaeon,2,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Asgardaeota;D_2__Lokiarchaeia;D_3__uncultured euryarchaeote,15,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__marine metagenome,8,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__uncultured crenarchaeote,14,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;__,78,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales,18,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__uncultured euryarchaeote,10,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanosarcinales,0,5,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermococci;D_3__Methanofastidiosales,10,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Benthic Group D and DHVEG-1,4,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__uncultured,27,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia;D_3__Aenigmarchaeales,2,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia;D_3__Deep Sea Euryarchaeotic Group(DSEG),72,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus Amesbacteria bacterium GW2011_GWC1_47_15,36,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus Diapherotrites archaeon ADurb.Bin253,59,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus Pacearchaeota archaeon CG1_02_32_21,11,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7,36,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Nanoarchaeota archaeon SCGC AAA011-D5,3,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__archaeon GW2011_AR13,314,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__marine metagenome,7,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured archaeon,194,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured crenarchaeote,8,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured euryarchaeote,28,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;__,397,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales,39,0,0,0,0,0,0,0,0
D_0__Archaea;__;__;__,23,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acetothermia;D_2__Acetothermiia;D_3__uncultured bacterium,11,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acetothermia;D_2__Acetothermiia;D_3__uncultured organism,22,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__AT-s3-28;D_3__uncultured actinobacterium,14,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__AT-s3-28;D_3__uncultured bacterium,60,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales,0,0,0,0,47,378,0,23,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales,102,926,211,182,278,591,293,203,183
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2,0,7,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Aminicenantia;D_3__Aminicenantales,310,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__11-24,0,11,0,12,16,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales,150,1746,563,128,459,186,908,1247,220
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__DS-100,0,5,0,16,0,23,15,7,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Pyrinomonadales,0,0,0,21,24,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);__,0,0,0,0,2,0,0,0,0
